00001ADAMSON             014104000014550324201021500067500040010011593        
00005HAMMOND             014205000008512975004021950090000100040050595        
00003CARTWELL            014210000012783145905021705097525030032041095        
00006NOLTE               014304500012555832504021350090025022005062793        
00004DORSEY              014204500011280565102012800080050029027020293        
00002BAKER               014105000001953425002012755080050025000032094        
00008JOHNKE              025105500012853200002032200080025010012011593        
00010MARSHALL            025205300012580219602032702580050008035112994        
00011ROBINSON            025207200014550324201021502367500040010011593        
00009WHITE               025105900001897443701023500067500005000062094        
00007REDFORD             025104800012257598303022907585075018010110195        
00014GRUBER              036214500011280565102012800080050029027020293        
00012MADISON             036107600001953425002012755080050025000032094        
00016NEEDY               036307900012555832504021350090025022005062793        
00015CAIRO               036226500008512975004021950096700100040050595        
00013MONROE              036163000012783145905021705097525030032041095        
00019ROCCO               047208700001897443701023514067500005000062094        
00017GABLES              047107100012257598303022907585395018010110195        
00018MCCLANE             047109100012853200002032200080025010012011593        
00020BARTLETT            047206800012580219602032702580050008035112994        
