40001ADAMSON             140000
2BAKER               150000
3CARTWELL            1100000
4DORSEY              145000
5HAMMOND             150000
6NOLTE               145000
7REDFORD             248000
8JOHNKE              255000
9WHITE               259000
10MARSHALL            253000
11ROBINSON            272000
12MADISON             376000
13MONROE              3130000
14GRUBER              3145000
15CAIRO               365000
16NEEDY               379000
17GABLES              471000
18MCCLANE             491000
19ROCCO               487000
20BARTLETT            468000
